,title,sub_title,brand,color_breif,fullPrice,currentPrice,country,availability,publish_date,created_date,discount_amount,asof_date
710,Nike Air Trainer 1,Men's Shoes,Nike Sportswear,Limestone/Ale Brown/White/Valerian Blue,114.95,114.95,GB,True,2022-10-13T00:00:00.000Z,2023-04-06T06:04:56.565Z,0.0,2023-04-16
711,Air Jordan 1 Low SE,Men's Shoes,Jordan,Black/White/Iced Lilac,104.95,104.95,GB,True,2023-02-20T00:00:00.000Z,2023-04-09T15:23:06.820Z,0.0,2023-04-16
712,Nike ACG Lowcate,Shoes,NikeLab,Wolf Grey/Grey Fog/Summit White/Navy,109.95,109.95,GB,True,2022-09-20T14:45:00.000Z,2023-04-13T09:36:33.751Z,0.0,2023-04-16
713,Nike Dunk High By You,Custom Men's Shoes,Nike Sportswear,Multi-Colour/Multi-Colour/Multi-Colour,134.95,134.95,GB,True,2022-11-01T16:00:00.000Z,2023-04-10T20:06:33.254Z,0.0,2023-04-16
714,Nike Dunk Low Unlocked By You,Custom Men's Shoes,Nike Sportswear,Multi-Colour/Multi-Colour/Multi-Colour/Multi-Colour,134.95,134.95,GB,True,2022-07-11T16:00:00.000Z,2023-04-06T06:47:24.740Z,0.0,2023-04-16
715,Air Jordan 1 Mid,Men's Shoes,Jordan,Black/White/Fire Red,114.95,114.95,GB,True,2023-01-02T08:44:00.000Z,2023-04-16T12:43:16.585Z,0.0,2023-04-16
716,Nike Blazer Low '77 Jumbo SE,Men's Shoes,Nike Sportswear,Summit White/Midnight Navy/Phantom/Summit White,89.95,62.97,GB,True,2023-01-16T08:00:00.000Z,2023-04-06T06:53:40.203Z,26.980000000000004,2023-04-16
717,Nike Structure 24,Men's Road Running Shoes,Nike,Midnight Navy/Black/White/White,114.95,114.95,GB,True,2023-03-23T08:00:00.000Z,2023-04-06T22:02:15.791Z,0.0,2023-04-16
718,Nike P-6000,Women's Shoes,Nike Sportswear,White/Metallic Platinum/Black/Opti Yellow,99.95,99.95,GB,True,2023-02-09T08:00:00.000Z,2023-04-06T22:29:40.751Z,0.0,2023-04-16
719,Nike Pegasus 39 Shield,Men's Weatherised Road Running Shoes,Nike,Black/Dark Smoke Grey/Volt/White,119.95,71.97,GB,True,2022-09-23T07:00:00.000Z,2023-04-07T01:57:15.750Z,47.980000000000004,2023-04-16
720,Nike Phantom GX Academy Dynamic Fit MG,Multi-Ground Football Boots,Nike,Barely Volt/Barely Grape/Gridiron,84.95,84.95,GB,True,2023-04-06T07:00:00.000Z,2023-04-11T20:04:49.969Z,0.0,2023-04-16
721,Nike SuperRep Go 3 Next Nature Flyknit,Men's Training Shoes,Nike,College Navy/Black/Bright Crimson/White,99.95,99.95,GB,True,2023-03-23T08:00:00.000Z,2023-04-14T01:14:08.690Z,0.0,2023-04-16
722,Nike SB Ishod Premium,Skate Shoes,Nike,Baroque Brown/Black/Obsidian,99.95,59.97,GB,True,2023-01-05T08:00:00.000Z,2023-04-11T17:43:16.715Z,39.980000000000004,2023-04-16
723,The Nike Premier 3 FG,Firm-Ground Football Boot,Nike,Cinnabar/University Red/Sail/Metallic Silver,89.95,89.95,GB,True,2022-08-01T07:00:00.000Z,2023-04-14T13:28:18.738Z,0.0,2023-04-16
724,Nike Air Max 95,Men's Shoes,Nike Sportswear,Wolf Grey/Cool Grey/White,169.95,169.95,GB,True,2023-04-04T07:00:00.000Z,2023-04-06T06:56:47.951Z,0.0,2023-04-16
725,Nike Phantom GX Academy MG,Multi-Ground Football Boot,Nike,Barely Volt/Barely Grape/Gridiron,74.95,74.95,GB,True,2023-04-06T07:00:00.000Z,2023-04-11T21:05:33.790Z,0.0,2023-04-16
726,Zion 2,Men's Basketball Shoes,Jordan,White/Black/Photon Dust/Flash Crimson,109.95,109.95,GB,True,2023-03-30T07:00:00.000Z,2023-04-12T16:06:29.734Z,0.0,2023-04-16
727,Nike Phantom GX Academy MG By You,Custom Multi-Ground Football Boot,NIKEiD,Multi-Colour/Multi-Colour/Multi-Colour,104.95,104.95,GB,True,2023-01-31T17:00:00.000Z,2023-04-06T06:44:41.236Z,0.0,2023-04-16
728,Jordan Delta 3 Low,Men's Shoes,Jordan,Sail/Photon Dust/Chile Red/Wolf Grey,124.95,99.97,GB,True,2023-02-01T13:49:00.000Z,2023-04-13T12:25:16.201Z,24.980000000000004,2023-04-16
729,Nike Air Penny 2 x Stüssy,Men's Shoes,NikeLab,Vivid Green/Black/Black,179.95,179.95,GB,True,2022-12-15T13:41:00.000Z,2023-04-06T06:46:19.385Z,0.0,2023-04-16
730,Nike Gripknit Phantom GX Elite SG-Pro Anti-Clog Traction,Soft-Ground Football Boot,Nike,Baltic Blue/White/Laser Blue/Pink Blast,244.95,244.95,GB,True,2023-01-16T08:00:00.000Z,2023-04-13T09:42:54.425Z,0.0,2023-04-16
731,Nike Zoom Vomero 5,Men's Shoes,Nike Sportswear,Velvet Brown/Earth/Anthracite/Gym Red,144.95,144.95,GB,True,2023-04-14T08:30:00.000Z,2023-04-15T11:21:49.131Z,0.0,2023-04-16
732,Nike Air Max Flyknit Racer,Men's Shoes,Nike Sportswear,Multi-Colour/Racer Blue/White/Black,152.95,107.47,GB,True,2023-01-24T08:00:00.000Z,2023-04-06T06:55:28.566Z,45.47999999999999,2023-04-16
733,Nike Air Max SYSTM,Men's Shoes,Nike Sportswear,White/Summit White/Black,99.95,99.95,GB,True,2023-03-21T08:00:00.000Z,2023-04-14T23:23:28.183Z,0.0,2023-04-16
